"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error"
"Total:","29,889,559","±6,743"
"    Income in the past 12 months below poverty level:","4,086,851","±75,298"
"        Male:","1,819,660","±42,245"
"            Under 5 years","181,536","±9,430"
"            5 years","34,665","±4,236"
"            6 to 11 years","242,695","±12,646"
"            12 to 14 years","118,646","±9,404"
"            15 years","41,540","±3,862"
"            16 and 17 years","71,643","±5,476"
"            18 to 24 years","227,577","±10,055"
"            25 to 34 years","196,289","±10,931"
"            35 to 44 years","195,257","±9,720"
"            45 to 54 years","150,179","±8,286"
"            55 to 64 years","161,456","±6,951"
"            65 to 74 years","122,045","±5,521"
"            75 years and over","76,132","±4,575"
"        Female:","2,267,191","±44,456"
"            Under 5 years","189,054","±10,049"
"            5 years","31,381","±3,712"
"            6 to 11 years","238,288","±10,868"
"            12 to 14 years","111,475","±8,135"
"            15 years","42,050","±4,200"
"            16 and 17 years","68,551","±5,253"
"            18 to 24 years","296,425","±11,649"
"            25 to 34 years","317,075","±11,871"
"            35 to 44 years","280,006","±10,345"
"            45 to 54 years","185,206","±8,165"
"            55 to 64 years","202,650","±7,464"
"            65 to 74 years","162,365","±8,234"
"            75 years and over","142,665","±6,595"
"    Income in the past 12 months at or above poverty level:","25,802,708","±75,748"
"        Male:","12,992,738","±40,613"
"            Under 5 years","783,118","±9,952"
"            5 years","152,342","±7,996"
"            6 to 11 years","1,043,139","±14,373"
"            12 to 14 years","565,515","±15,026"
"            15 years","186,544","±6,789"
"            16 and 17 years","391,173","±9,438"
"            18 to 24 years","1,177,061","±11,495"
"            25 to 34 years","1,948,602","±12,769"
"            35 to 44 years","1,951,626","±12,020"
"            45 to 54 years","1,681,044","±11,537"
"            55 to 64 years","1,452,317","±7,517"
"            65 to 74 years","1,054,400","±6,890"
"            75 years and over","605,857","±5,368"
"        Female:","12,809,970","±45,213"
"            Under 5 years","733,016","±10,890"
"            5 years","154,695","±8,943"
"            6 to 11 years","992,089","±20,327"
"            12 to 14 years","540,494","±16,859"
"            15 years","188,959","±8,435"
"            16 and 17 years","358,166","±9,046"
"            18 to 24 years","1,034,852","±12,294"
"            25 to 34 years","1,836,277","±12,170"
"            35 to 44 years","1,849,329","±11,049"
"            45 to 54 years","1,691,335","±10,076"
"            55 to 64 years","1,489,939","±7,767"
"            65 to 74 years","1,179,703","±8,871"
"            75 years and over","761,116","±7,867"
